Experiment Code,Percentage Yield (%)
Y1O-001,12
Y1O-001,16
Y1O-001,18
Y1O-001,19
Y1O-001,22
Y1O-001,23
Y1O-001,23
Y1O-001,24
Y1O-001,25
Y1O-001,26
Y1O-001,26
Y1O-001,26
Y1O-001,28
Y1O-001,28
Y1O-001,29
Y1O-001,29
Y1O-001,29
Y1O-001,29
Y1O-001,30
Y1O-001,30
Y1O-001,30
Y1O-001,30
Y1O-001,31
Y1O-001,31
Y1O-001,31
Y1O-001,31
Y1O-001,31
Y1O-001,32
Y1O-001,32
Y1O-001,32
Y1O-001,33
Y1O-001,34
Y1O-001,34
Y1O-001,35
Y1O-001,35
Y1O-001,35
Y1O-001,35
Y1O-001,36
Y1O-001,36
Y1O-001,36
Y1O-001,37
Y1O-001,37
Y1O-001,37
Y1O-001,37
Y1O-001,38
Y1O-001,38
Y1O-001,38
Y1O-001,38
Y1O-001,39
Y1O-001,40
Y1O-001,40
Y1O-001,40
Y1O-001,40
Y1O-001,40
Y1O-001,41
Y1O-001,41
Y1O-001,41
Y1O-001,42
Y1O-001,42
Y1O-001,42
Y1O-001,42
Y1O-001,42
Y1O-001,43
Y1O-001,43
Y1O-001,43
Y1O-001,44
Y1O-001,45
Y1O-001,45
Y1O-001,45
Y1O-001,46
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,47
Y1O-001,48
Y1O-001,49
Y1O-001,50
Y1O-001,50
Y1O-001,50
Y1O-001,51
Y1O-001,51
Y1O-001,52
Y1O-001,52
Y1O-001,52
Y1O-001,53
Y1O-001,53
Y1O-001,54
Y1O-001,54
Y1O-001,54
Y1O-001,54
Y1O-001,54
Y1O-001,54
Y1O-001,55
Y1O-001,55
Y1O-001,55
Y1O-001,55
Y1O-001,56
Y1O-001,56
Y1O-001,56
Y1O-001,57
Y1O-001,57
Y1O-001,58
Y1O-001,58
Y1O-001,58
Y1O-001,59
Y1O-001,59
Y1O-001,59
Y1O-001,59
Y1O-001,60
Y1O-001,60
Y1O-001,60
Y1O-001,60
Y1O-001,61
Y1O-001,61
Y1O-001,61
Y1O-001,61
Y1O-001,62
Y1O-001,62
Y1O-001,63
Y1O-001,64
Y1O-001,64
Y1O-001,64
Y1O-001,64
Y1O-001,64
Y1O-001,65
Y1O-001,65
Y1O-001,65
Y1O-001,65
Y1O-001,67
Y1O-001,67
Y1O-001,67
Y1O-001,67
Y1O-001,67
Y1O-001,68
Y1O-001,69
Y1O-001,69
Y1O-001,69
Y1O-001,69
Y1O-001,70
Y1O-001,71
Y1O-001,74
Y1O-001,74
Y1O-001,83
Y1O-001,85
Y1O-001,85
Y1O-001,86
Y1O-001,86
Y1O-001,86
Y1O-001,90
Y1O-001,91
Y1O-001,91
Y1O-001,91
Y1O-001,93
Y1O-001,94
Y1O-001,99
Y1O-002,6
Y1O-002,6
Y1O-002,9
Y1O-002,11
Y1O-002,15
Y1O-002,15
Y1O-002,16
Y1O-002,17
Y1O-002,18
Y1O-002,18
Y1O-002,19
Y1O-002,19
Y1O-002,20
Y1O-002,20
Y1O-002,20
Y1O-002,21
Y1O-002,22
Y1O-002,22
Y1O-002,22
Y1O-002,23
Y1O-002,23
Y1O-002,23
Y1O-002,26
Y1O-002,26
Y1O-002,26
Y1O-002,26
Y1O-002,27
Y1O-002,27
Y1O-002,28
Y1O-002,28
Y1O-002,28
Y1O-002,29
Y1O-002,29
Y1O-002,30
Y1O-002,30
Y1O-002,31
Y1O-002,31
Y1O-002,31
Y1O-002,31
Y1O-002,33
Y1O-002,33
Y1O-002,34
Y1O-002,34
Y1O-002,34
Y1O-002,34
Y1O-002,34
Y1O-002,34
Y1O-002,34
Y1O-002,35
Y1O-002,35
Y1O-002,36
Y1O-002,37
Y1O-002,39
Y1O-002,40
Y1O-002,41
Y1O-002,42
Y1O-002,42
Y1O-002,42
Y1O-002,44
Y1O-002,44
Y1O-002,44
Y1O-002,45
Y1O-002,46
Y1O-002,46
Y1O-002,46
Y1O-002,46
Y1O-002,47
Y1O-002,47
Y1O-002,48
Y1O-002,48
Y1O-002,48
Y1O-002,48
Y1O-002,49
Y1O-002,49
Y1O-002,49
Y1O-002,49
Y1O-002,49
Y1O-002,50
Y1O-002,50
Y1O-002,50
Y1O-002,51
Y1O-002,51
Y1O-002,51
Y1O-002,51
Y1O-002,52
Y1O-002,52
Y1O-002,52
Y1O-002,52
Y1O-002,52
Y1O-002,53
Y1O-002,53
Y1O-002,53
Y1O-002,54
Y1O-002,54
Y1O-002,54
Y1O-002,54
Y1O-002,55
Y1O-002,55
Y1O-002,55
Y1O-002,55
Y1O-002,56
Y1O-002,56
Y1O-002,56
Y1O-002,56
Y1O-002,57
Y1O-002,57
Y1O-002,57
Y1O-002,57
Y1O-002,58
Y1O-002,58
Y1O-002,59
Y1O-002,59
Y1O-002,60
Y1O-002,60
Y1O-002,60
Y1O-002,61
Y1O-002,61
Y1O-002,61
Y1O-002,63
Y1O-002,63
Y1O-002,63
Y1O-002,63
Y1O-002,63
Y1O-002,64
Y1O-002,64
Y1O-002,65
Y1O-002,65
Y1O-002,65
Y1O-002,65
Y1O-002,66
Y1O-002,67
Y1O-002,67
Y1O-002,67
Y1O-002,67
Y1O-002,68
Y1O-002,70
Y1O-002,70
Y1O-002,70
Y1O-002,70
Y1O-002,70
Y1O-002,70
Y1O-002,70
Y1O-002,72
Y1O-002,73
Y1O-002,73
Y1O-002,73
Y1O-002,73
Y1O-002,74
Y1O-002,74
Y1O-002,75
Y1O-002,75
Y1O-002,76
Y1O-002,76
Y1O-002,78
Y1O-002,81
Y1O-002,82
Y1O-002,85
Y1O-002,91
Y1O-002,94
Y1O-003,11
Y1O-003,12
Y1O-003,20
Y1O-003,22
Y1O-003,29
Y1O-003,29
Y1O-003,30
Y1O-003,32
Y1O-003,32
Y1O-003,38
Y1O-003,40
Y1O-003,40
Y1O-003,41
Y1O-003,41
Y1O-003,41
Y1O-003,42
Y1O-003,43
Y1O-003,44
Y1O-003,44
Y1O-003,45
Y1O-003,45
Y1O-003,45
Y1O-003,46
Y1O-003,48
Y1O-003,49
Y1O-003,50
Y1O-003,50
Y1O-003,50
Y1O-003,50
Y1O-003,51
Y1O-003,51
Y1O-003,52
Y1O-003,52
Y1O-003,53
Y1O-003,53
Y1O-003,54
Y1O-003,55
Y1O-003,55
Y1O-003,55
Y1O-003,56
Y1O-003,56
Y1O-003,56
Y1O-003,58
Y1O-003,58
Y1O-003,58
Y1O-003,59
Y1O-003,59
Y1O-003,60
Y1O-003,60
Y1O-003,61
Y1O-003,61
Y1O-003,61
Y1O-003,61
Y1O-003,62
Y1O-003,62
Y1O-003,62
Y1O-003,62
Y1O-003,63
Y1O-003,63
Y1O-003,63
Y1O-003,63
Y1O-003,63
Y1O-003,64
Y1O-003,64
Y1O-003,64
Y1O-003,64
Y1O-003,64
Y1O-003,65
Y1O-003,65
Y1O-003,65
Y1O-003,66
Y1O-003,66
Y1O-003,66
Y1O-003,67
Y1O-003,67
Y1O-003,67
Y1O-003,67
Y1O-003,68
Y1O-003,68
Y1O-003,68
Y1O-003,69
Y1O-003,69
Y1O-003,69
Y1O-003,69
Y1O-003,70
Y1O-003,70
Y1O-003,71
Y1O-003,71
Y1O-003,71
Y1O-003,71
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,72
Y1O-003,73
Y1O-003,73
Y1O-003,73
Y1O-003,73
Y1O-003,73
Y1O-003,74
Y1O-003,74
Y1O-003,74
Y1O-003,74
Y1O-003,74
Y1O-003,74
Y1O-003,75
Y1O-003,75
Y1O-003,75
Y1O-003,75
Y1O-003,76
Y1O-003,76
Y1O-003,76
Y1O-003,76
Y1O-003,77
Y1O-003,77
Y1O-003,77
Y1O-003,78
Y1O-003,78
Y1O-003,78
Y1O-003,78
Y1O-003,78
Y1O-003,79
Y1O-003,80
Y1O-003,80
Y1O-003,80
Y1O-003,80
Y1O-003,80
Y1O-003,80
Y1O-003,80
Y1O-003,80
Y1O-003,81
Y1O-003,81
Y1O-003,81
Y1O-003,81
Y1O-003,82
Y1O-003,82
Y1O-003,83
Y1O-003,83
Y1O-003,84
Y1O-003,84
Y1O-003,85
Y1O-003,85
Y1O-003,86
Y1O-003,86
Y1O-003,86
Y1O-003,88
Y1O-003,88
Y1O-003,88
Y1O-003,88
Y1O-003,89
Y1O-003,90
Y1O-003,91
Y1O-003,91
Y1O-003,91
Y1O-003,91
Y1O-003,93
Y1O-003,93
Y1O-003,93
Y1O-003,94
Y1O-003,94
Y1O-003,94
Y1O-003,94
Y1O-003,98
Y1O-003,98
Y1O-004,6
Y1O-004,15
Y1O-004,15
Y1O-004,22
Y1O-004,24
Y1O-004,25
Y1O-004,27
Y1O-004,33
Y1O-004,36
Y1O-004,36
Y1O-004,40
Y1O-004,41
Y1O-004,43
Y1O-004,44
Y1O-004,44
Y1O-004,45
Y1O-004,46
Y1O-004,46
Y1O-004,47
Y1O-004,49
Y1O-004,50
Y1O-004,50
Y1O-004,50
Y1O-004,50
Y1O-004,50
Y1O-004,51
Y1O-004,53
Y1O-004,53
Y1O-004,53
Y1O-004,54
Y1O-004,54
Y1O-004,55
Y1O-004,55
Y1O-004,55
Y1O-004,56
Y1O-004,56
Y1O-004,56
Y1O-004,57
Y1O-004,57
Y1O-004,58
Y1O-004,60
Y1O-004,61
Y1O-004,61
Y1O-004,62
Y1O-004,62
Y1O-004,62
Y1O-004,62
Y1O-004,62
Y1O-004,63
Y1O-004,63
Y1O-004,63
Y1O-004,63
Y1O-004,63
Y1O-004,64
Y1O-004,64
Y1O-004,64
Y1O-004,64
Y1O-004,64
Y1O-004,65
Y1O-004,65
Y1O-004,65
Y1O-004,66
Y1O-004,67
Y1O-004,67
Y1O-004,68
Y1O-004,68
Y1O-004,69
Y1O-004,69
Y1O-004,69
Y1O-004,69
Y1O-004,70
Y1O-004,70
Y1O-004,71
Y1O-004,71
Y1O-004,72
Y1O-004,72
Y1O-004,72
Y1O-004,72
Y1O-004,73
Y1O-004,73
Y1O-004,73
Y1O-004,73
Y1O-004,73
Y1O-004,73
Y1O-004,73
Y1O-004,74
Y1O-004,74
Y1O-004,76
Y1O-004,77
Y1O-004,77
Y1O-004,78
Y1O-004,78
Y1O-004,78
Y1O-004,79
Y1O-004,79
Y1O-004,79
Y1O-004,79
Y1O-004,79
Y1O-004,79
Y1O-004,80
Y1O-004,80
Y1O-004,80
Y1O-004,80
Y1O-004,80
Y1O-004,81
Y1O-004,83
Y1O-004,83
Y1O-004,83
Y1O-004,83
Y1O-004,83
Y1O-004,84
Y1O-004,84
Y1O-004,84
Y1O-004,85
Y1O-004,85
Y1O-004,85
Y1O-004,87
Y1O-004,87
Y1O-004,87
Y1O-004,87
Y1O-004,87
Y1O-004,88
Y1O-004,88
Y1O-004,88
Y1O-004,88
Y1O-004,89
Y1O-004,89
Y1O-004,89
Y1O-004,90
Y1O-004,91
Y1O-004,91
Y1O-004,92
Y1O-004,92
Y1O-004,92
Y1O-004,93
Y1O-004,93
Y1O-004,95
Y1O-004,95
Y1O-004,98
Y1O-004,99
Y1O-004,99
Y1O-004,99
Y1O-005,1
Y1O-005,2
Y1O-005,6
Y1O-005,7
Y1O-005,9
Y1O-005,9
Y1O-005,9
Y1O-005,11
Y1O-005,11
Y1O-005,15
Y1O-005,16
Y1O-005,16
Y1O-005,16
Y1O-005,17
Y1O-005,20
Y1O-005,21
Y1O-005,21
Y1O-005,21
Y1O-005,22
Y1O-005,22
Y1O-005,22
Y1O-005,23
Y1O-005,23
Y1O-005,24
Y1O-005,25
Y1O-005,25
Y1O-005,25
Y1O-005,25
Y1O-005,25
Y1O-005,25
Y1O-005,27
Y1O-005,29
Y1O-005,29
Y1O-005,29
Y1O-005,31
Y1O-005,32
Y1O-005,34
Y1O-005,34
Y1O-005,34
Y1O-005,35
Y1O-005,35
Y1O-005,36
Y1O-005,36
Y1O-005,37
Y1O-005,38
Y1O-005,38
Y1O-005,39
Y1O-005,39
Y1O-005,40
Y1O-005,40
Y1O-005,40
Y1O-005,40
Y1O-005,40
Y1O-005,41
Y1O-005,41
Y1O-005,41
Y1O-005,42
Y1O-005,42
Y1O-005,42
Y1O-005,42
Y1O-005,43
Y1O-005,43
Y1O-005,43
Y1O-005,44
Y1O-005,44
Y1O-005,44
Y1O-005,44
Y1O-005,44
Y1O-005,44
Y1O-005,44
Y1O-005,46
Y1O-005,46
Y1O-005,47
Y1O-005,47
Y1O-005,47
Y1O-005,50
Y1O-005,50
Y1O-005,52
Y1O-005,52
Y1O-005,53
Y1O-005,55
Y1O-005,56
Y1O-005,57
Y1O-005,57
Y1O-005,57
Y1O-005,58
Y1O-005,58
Y1O-005,58
Y1O-005,58
Y1O-005,58
Y1O-005,58
Y1O-005,59
Y1O-005,60
Y1O-005,60
Y1O-005,60
Y1O-005,60
Y1O-005,60
Y1O-005,60
Y1O-005,61
Y1O-005,61
Y1O-005,61
Y1O-005,61
Y1O-005,62
Y1O-005,62
Y1O-005,62
Y1O-005,62
Y1O-005,62
Y1O-005,63
Y1O-005,64
Y1O-005,64
Y1O-005,64
Y1O-005,64
Y1O-005,66
Y1O-005,67
Y1O-005,68
Y1O-005,69
Y1O-005,69
Y1O-005,69
Y1O-005,70
Y1O-005,70
Y1O-005,70
Y1O-005,71
Y1O-005,71
Y1O-005,71
Y1O-005,71
Y1O-005,72
Y1O-005,73
Y1O-005,73
Y1O-005,73
Y1O-005,73
Y1O-005,73
Y1O-005,73
Y1O-005,73
Y1O-005,75
Y1O-005,75
Y1O-005,75
Y1O-005,75
Y1O-005,76
Y1O-005,76
Y1O-005,77
Y1O-005,77
Y1O-005,78
Y1O-005,79
Y1O-005,79
Y1O-005,80
Y1O-005,80
Y1O-005,81
Y1O-005,81
Y1O-005,81
Y1O-005,81
Y1O-005,82
Y1O-005,83
Y1O-005,83
Y1O-005,84
Y1O-005,86
Y1O-005,89
Y1O-005,90
Y1O-005,91
Y1O-005,92
Y1O-005,95
Y1O-005,97
